ID,Case Number,Date,Primary Type,Description,Location Description,Arrest,Domestic,Year,Latitude,Longitude
11667185,JC237601,04/20/2019 11:00:00 PM,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2019,41.75130706,-87.60346764
11909178,JC532226,12/02/2019 10:35:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,GROCERY FOOD STORE,FALSE,FALSE,2019,41.90399688,-87.64323024
11852571,JC462365,10/06/2019 04:50:00 PM,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,CLEANING STORE,TRUE,TRUE,2019,41.88032861,-87.7584733
11804855,JC405161,08/23/2019 10:00:00 PM,THEFT,OVER $500,STREET,FALSE,FALSE,2019,41.92438396,-87.64144151
11808164,JC409088,08/26/2019 12:00:00 AM,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,2019,41.75579713,-87.63442626
11750713,JC340284,07/08/2019 02:28:00 AM,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2019,41.68975562,-87.69984308
11826687,JC431308,09/13/2019 07:57:00 AM,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,ALLEY,TRUE,FALSE,2019,41.89036711,-87.62667363
11792131,JC388943,08/02/2019 08:00:00 PM,THEFT,OVER $500,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,2019,41.80507823,-87.59055588
11777332,JC372325,07/25/2019 12:01:00 AM,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,2019,41.89108738,-87.6340552
11779527,JC374938,07/26/2019 11:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2019,41.91045104,-87.67928549
11930680,JC558223,12/23/2019 08:10:00 PM,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,FALSE,FALSE,2019,41.83069725,-87.61447689
11638101,JC203700,03/28/2019 11:00:00 PM,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,2019,41.95749188,-87.65320869
11875398,JC490206,10/28/2019 09:20:00 PM,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2019,41.84431416,-87.71997769
11709666,JC290439,06/03/2019 01:42:00 PM,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,TRUE,FALSE,2019,41.80934737,-87.61896323
11669330,JC241440,04/28/2019 09:38:00 AM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,2019,41.90170542,-87.71652681
11603317,JC161382,02/22/2019 04:45:00 AM,STALKING,SIMPLE,RESIDENCE,FALSE,FALSE,2019,41.93117017,-87.77383801
11675387,JC248827,04/24/2019 12:01:00 AM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2019,41.80850469,-87.75174318
11803692,JC402551,08/21/2019 06:30:00 PM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,2019,41.79133166,-87.65480303
11690038,JC265303,05/15/2019 06:30:00 PM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,2019,41.76644693,-87.62979467
11657604,JC227392,04/16/2019 11:50:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2019,41.66609089,-87.63355638
11870083,JC483842,10/18/2019 12:00:00 PM,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2019,41.88559882,-87.6513827
11774620,JC368982,07/29/2019 12:00:00 AM,THEFT,FROM BUILDING,STREET,FALSE,FALSE,2019,41.88172219,-87.62435627
11699179,JC277746,05/24/2019 11:50:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2019,41.73527097,-87.66792005
